1,번호제목작성자작성일조회파일,,,,,,,,
2,886[RIS에너지신산업사업단] 제2회 미래 특장차산업 박람..RIS에너지...2024-05-0979,,,,,,,,"국립군산대학교 RIS에너지신산업사업단에서는 제2회 미래 특장차산업 박람회를 개최하오니, 많은 관심과 참여를 부탁드립니다."
3,885<찾아가는 고전강좌> 안내인문도시센터2024-05-0874,,,,,,,,"한국고전번역원 부설 고전번역교육원 전주분원에서 주관하는 <찾아가는 고전강좌>를 안내드립니다. 

 

강사 : 변주승(전주대학교 역사콘텐츠학과/한국고전학연구소장)

주제 : <추안급국안(推案及鞫案)>이란 무엇인가?

일시 :  2024년 5월 9일(목) 15시-17시

장소 : 국립군산대학교 두드림센터(평생교육원) 4층 409호실  
 

참가비 : 무료
 
군산 시민 여러분들의 많은 관심과 참석을 부탁드립니다."
4,884[의류학부] 2024학년도 제 27회 의류학부 졸업작품..의류학부2024-05-01149,,,,,,,,"제 27회 의류학부 졸업작품 패션쇼 'IDEAL' 

아래와 같이 안내하오니, 많은 관심과 참여 부탁드립니다!

* 일  시 : 2024. 05. 09. (목) 20:20 ~ 20:40

* 장  소 : 국립군산대학교 대운동장 무대

* 문  의 : 의류학부 사무실 063-469-4661"
5,"883[군산시] 두근두근 인연만들기 청춘, 섬愛잇다대외협력본부2024-04-23364",,,,,,,,"[행사명 : 두근두근 인연만들기 청춘, 섬愛잇다]

- 행 사 명 : 두근두근 인연만들기 청춘, 섬愛잇다
- 일자/장소 : 2024. 6. 1.(토) ~ 6. 2.(일) / 고군산군도(선유도, 무녀도 등)
- 주요내용 : 1:1 스피드데이팅, 포토미션, 선유도 액티비티 등
- 모집기간 : 2024. 4. 15.(월) ~ 5. 3.(금)
- 모집인원 : 30명(남 15, 여 15)
- 신청자격 : 군산시에 주민등록을 두거나 군산시 소재 직장인(자영업, 프리랜서 등 포함) 미혼남녀
- 참가연령 : 25세~39세(1985년생~1999년생)
- 신청방법 : 이메일 또는 방문 신청(대리신청 불가)
- 신청문의 : 군산시청 인구대응담당관(063-454-2323)"
6,882[총동아리연합회] 2024학년도 1학기 중앙동아리 등록..학생지원과2024-03-26428,,,,,,,,"[총동아리연합회] 2024학년도 1학기 중앙동아리 등록 신청 접수
작성자 : 학생지원과 전화번호 : 063-469-4002 작성일 : 2024-03-26 조회수 : 429
국립군산대학교 총동아리연합회에서 2024학년도 1학기 중앙동아리 등록 신청을 접수하오니, 많은 관심과 참여 바랍니다.

 

<2024학년도 1학기 중앙동아리 정식 등록 신청 공고> ← 총동아리연합회 홈페이지 링크 클릭

 

1. 신청 대상

(1) 재등록을 원하는 2023년 활동했었던 중앙동아리

(2) 중앙동아리 등록을 원하는 신규 동아리

 

2. 신청 방법 ( 필수 제출 서류 )

(1) 동아리 등록 신청서

(2) 동아리 회원 명단

 

3. 제출 방법

위 서류를 작성하신 뒤, ha00098@naver.com 으로 제출

 

4. 제출 기간

2024. 3. 26.(화) ~ 3. 31.(일) 24:00까지

 

5. 등록 요건

(1) 본회에서 제시하는 서류 양식을 구비하여야 함.

(2) 회원 수는 10명 이상이어야 함. (2개 이상의 학과(전공)로 구성되어야 함.)

(3) 퇴폐적이고 향락적인 동아리는 등록할 수 없음.

(4) 단순 친목형태의 동아리, 목적성이 불분명한 동아리는 등록할 수 없음.

 

6. 동아리 등록비

2024년 총 동아리연합회는 동아리 등록비를 받지 않음.

 

7. 주의사항

(1) 제출 기간 미 준수 시 1학기 동아리 등록이 불가능함.

(2) 자료가 부족하거나 허위로 작성된 경우 등록을 불허함."
7,881[한국대학사회봉사협의회] 2024년 농촌 맞춤형 봉사활..학생지원과2024-03-19312,,,,,,,,"한국대학사회봉사협의회(KUCSS/대사협)에서 2024년 농촌 맞춤형 봉사활동 지원 '농촌재능나눔 대학·대학생 활동지원 사업' 참가 모집하오니 대학 및 동아리(팀)의 많은 관심과 참여 바랍니다.

 "
8,880[해양경찰청] 2024년 해양경찰 국민기자단 모집학생지원과2024-03-19186,,,,,,,,"해양경찰청에서는 청년들의 국정 참여 기회 확산과 국민의 눈높이에 맞춘 현장 체험 중심의 디지털 콘텐츠 제작을 위해, 2024년 해양경찰 '국민기자단'을 모집하오니 해양경찰학과 관련 학생과 청년들의 많은 관심과 참여 바랍니다."
9,879[국립야생동물질병관리원] 제2기 SNS 기자단 모집학생지원과2024-03-15234,,,,,,,,"국립야생동물질병관리원에서 야생동물질병과 관련된 주요 정책과 소식을 국민들에게 쉽고 참신한 콘텐츠로 제작해 널리 알리고자 '제2기 SNS 기자단'을 모집하오니, 많은 관심과 참여 바랍니다."
10,878[아동권리보장원] 2024년 제4기 아동위원회 조력자(..학생지원과2024-03-15102,,,,,,,,"[아동권리보장원] 2024년 제4기 아동위원회 조력자(대학생) 모집
작성자 : 학생지원과 전화번호 : 063-469-4002 작성일 : 2024-03-15 조회수 : 103
아동권리보장원에서 제4기 아동위원회 조력자(대학생)을 모집하오니, 많은 관심과 참여 바랍니다."
11,877[국가보훈부] 2024 유엔참전용사 후손교류캠프 국내 ..학생지원과2024-03-15108,,,,,,,,"[국가보훈부] 2024 유엔참전용사 후손교류캠프 국내 참가자 모집
작성자 : 학생지원과 전화번호 : 063-469-4002 작성일 : 2024-03-15 조회수 : 109
국가보훈부에서 유엔참전용사의 참전으로 맺어진 참전국과의 인연을 미래세대로 계승·발전시켜 나가기 위해 22개 유엔참전국 참전용사 후손과 대한민국 대학생 등을 초청하오니, 많은 관심과 참여 바랍니다."
