1,번호제목작성자작성일조회수파일,,,,,,,,,
2,39762024년 전북 지자체 대학 협력기반 지역혁신(RIS)..RIS에너지...2024-05-1538,,,,,,,,,"2024년 전북 지자체 대학 협력기반 지역혁신(RIS)사업 2차 과제 통합 공고(핵심분야)
작성자 : RIS에너지신산업사업단 전화번호 : 063-469-8908 작성일 : 2024-05-15 조회수 : 59
전북지역 핵심 분야에 맞는 과제 수행을 통해 지역 맞춤형 창의인재를 양성하고, 지역기업 애로기술 해결을 통한 기술고도화와 기술이전 및 실용화/제품화, 마케팅 등 기업지원을 통한 신산업육성을 지원하는 『2024년 전북 지자체 대학 협력기반 지역혁신(RIS)사업』 2차 과제를 다음과 같이 공고하오니 희망 기관은 관련 규정 및 절차에 따라 신청하여 주시기 바랍니다.

 

○ 사업목적 : 지역 수요맞춤형 인력을 양성하고 지역산업을 혁신할 기술을 확보, 이를 통한 지속가능한글로컬 앵커기업을 육성하여 지역 청년인구의 정주에 이르는 지역 사회 생태계 조성

 

○ 모집분야 : 에너지신산업 / 미래수송기기 / 농생명 바이오분야

 

① 창의인재양성 : 지역산업현장 수요조사 반영 및 지역기업과 연계 협력
② 기술고도화 : 지역기업의 수요맞춤형 연구개발 등 기술개발 사업화
③ 신산업육성 : 기술이전 및 실용화/제품화, 시제품 제작, 디자인, 마케팅 등 기업지원

 

○ 과제별 분류 및 지원 사업비
-  대형과제 : 6억원 이내(핵심분야별 2개 내외, 총 6개 내외)
-  중형과제 : 3억원 이내(핵심분야별 4개 내외, 총 12개 내외)
-  소형과제 : 1억원 이내(핵심분야별 20개 내외, 총 60개 내외)

 

○ 공모기간 : 2024. 05. 14.(화) - 2024. 06. 05.(수)

 

○ 제출방법 : pdf 파일 및 책자제본 10부 제출(원본 1부 / 블라인드본 9부)

 

※ 자세한 사항은 붙임의 공고문 및 전북테크노파크 홈페이지 내 공고 확인

https://www.jbtp.or.kr/board/view.jbtp?menuCd=DOM_000000102001000000&boardId=BBS_0000006&dataSid=16169"
3,39752024 KSNU 진로·진학박람회 및 청춘댄스경연대회 ..입학사정관실2024-05-1490,,,,,,,,,"2024 KSNU 진로·진학박람회

1. 일    시: 2024. 5. 24.(금) 9:00 ~ 17:00

2. 장    소: 국립군산대학교 체육관

3. 대    상: 고교생 1~3학년, 교사, 학부모 등

4. 내    용

 진로탐색: 47개 학과·부 체험 및 상담, 오픈클래스 운영

 진학상담: 2025학년도 대입전형 안내, 1:1 맞춤형 상담

 이벤트: 청춘댄스 경연대회, 미술관/박물관 여행, 힐링타로상담, 퍼스널컬러 진단 등

5. 문    의: 국립군산대학교 입학사정관실 063)469-7511/4117

 

청춘 댄스 경연 대회

1. 일       시:  2024. 5. 24.(금) 14:00 ~ 15:30  ※ 상황에 따라 일정이 변경될 수 있음.

2. 장       소: 국립군산대학교 체육관 앞 야외 무대

3. 대       상: 전북특별자치도 고교생 1~3학년

 ※ 참가 신청을 희망할 경우 전화 문의 바랍니다. 

4. 시상 예정: 대상 100만원, 최우수상 50만원, 우수상 30만원  ※인기상/참가상 지급 예정

5. 문       의: 국립군산대학교 입학사정관실 063)469-7513"
4,3974미래형 상용 모빌리티 산업 생태계 활성화를 위한 초청세..미래모빌리티...2024-05-1480,,,,,,,,,"교육혁신처 미래교육과에서 알려드립니다. 

교육혁신처에서 스마트팩토리 마이크로디그리 교육과정에 대해 소개하고자 설명회를 개최합니다. 

 

행 사 명: 2024학년도 스마트팩토리 마이크로디그리 교육과정 설명회

 일    시: 2024. 5. 21.(화) 16:20

 장    소: 인문대학 국제회의장(인문관-1104)

 참석대상: 스마트팩토리에 관심있는 재학생과 교직원 모두

 주요내용

1. 스마트팩토리 소개

2. 스마트팩토리 교육과정 안내

3. 스마트팩토리 이수혜택 안내 및 홍보

4. 기업채용연계 사례 소개(방○한 졸업생)

관심있는 재학생분들과 교직원분들의 많은 참여 부탁드립니다.

 

※참여인원 파악을 위하여 사전에 참여인원 조사를 진행하고 있습니다.

https://forms.gle/umdR5AXcKTrHTQ1x5  ☜ 사전 참여 신청 "
5,39732024학년도 스마트팩토리 마이크로디그리(MD) 교육과..미래교육과2024-05-1472,,,,,,,,,
6,3972[군산시 청년뜰] 롯데몰 연계 팝업부스 지원사업 참여자..군산시청년뜰...2024-05-13218,,,,,,,,,"군산시 소재 창업가들의 판로개척과 매출증대를 위한 '롯데몰 연계 팝업부스 지원' 참여자를 금일부터 모집하오니 많은 관심과 신청부탁드립니다.

◆ 모집기간 : 24. 5. 13.(월) ~ 5. 24.(금) 17:00까지

◆ 행사일정 : 24. 6. 21.(금) ~ 6. 23.(일)

◆ 행사장소: 롯데몰 군산점 중앙광장

◆ 지원대상: 공고문 내 자격요건을 모두 충족하는 자

◆ 지원내용: 롯데몰 중앙광장 내 홍보 및 판매부스 지원

 

세부내용은 군산시 청년뜰 홈페이지의 모집공고를 확인해주세요!(QR코드로 바로 이동할 수 있어요!☺️☺️)

▶ 신청하러가기 http://gsyouth.or.kr/startup_center/sc_program/?uid=9330&mod=document&pageid=19330&mod=document&pageid=1"
7,39712024년 JST공유대학 핵심역량진단 온라인 설문조사(..RIS에너지...2024-05-13195,,,,,,,,,"RIS대학교육혁신본부에서 JST공유대학 핵심역량진단 도구 개발을 위하여 아래와 같이 온라인 설문조사를 실시하고있습니다.

많은 설문조사 참여 부탁드립니다 

가. 설 문 명: JST공유대학 핵심역량진단 도구 개발 위한 조사
나. 참 여 기 간: 2024. 05. 24.(금) 까지.
다. 참 여 대 상: 군산대학교 3, 4학년 재학생
라. 참 여 방 법: 온라인을 통한 설문조사 -> 접속링크  (https://moaform.com/q/X1TnwQ)
※ 조사 결과는 통계법에 의거 익명으로 처리되어 개인정보가 노출되지 않으며, 오직 연구를 위한 통계자료로만 사용
※ 참가자 전원에게 스타벅스 기프티콘 증정"
8,3970[군산시 청년뜰] 청년생활아카데미 노무교육 참여자 모집군산시청년뜰...2024-05-13160,,,,,,,,,"■ 모집일정: 2024. 5.  9.(목)~5. 23.(목)

 ■ 모집대상: 근로자 권리 및 노동법에 대해 알아보고싶은 군산 청년(18세~39세)

 ■ 운영일정: 2024. 5. 25.(토) 15:00~17:00

 ■ 운영장소: 군산시 청년뜰 3층 청년강당(군산시 내항 1길 4, 3층)

 ■ 신청방법:  포스터 내 QR 또는 구글폼 신청(https://forms.gle/R83TQL1ZyJHZW3Q48)

 ■ 문의사항: 070-4465-7665 / 063)471-1555 / 카카오톡 '군산시 청년뜰' 채널 문의

※ 홈페이지 신청은 접수가 완료된 것이 아니니 꼭! 구글폼으로 신청해주세요! ※"
9,3969[도서관] 2024 도서관 온라인 퀴즈대회 안내학술정보지원...2024-05-13228,,,,,,,,,"도서관 퀴즈 풀고 상품 받자!

2024 도서관 온라인 퀴즈대회

 

대학도서관의 학술자원과 서비스에 대해 알아보고

추첨을 통해 상품을 드리는

도서관 온라인 퀴즈대회에 대학 구성원 여러분을 초대합니다.

 

기간 ㅣ 2024. 5. 20.(월) 10:00~5. 24.(금) 자정까지

대상 ㅣ 재학생(학부생, 대학원생), 도서관회원, 교직원

내용 ㅣ  도서관 학술자원 및 서비스에 대한 문제 풀이

참여방법 ㅣ  도서관 홈페이지에서 온라인 참여

시상내역 ㅣ 에어팟프로(2세대), 올리브영 기프트카드, 문화상품권

★ 자세한 행사 내용은 도서관 홈페이지 공지사항(클릭)을 참고해 주세요 ★

문의 ㅣ 도서관 학술전자정보팀 (063)469-4188"
10,39682024년 국립군산대학교 정부혁신 실행계획기획처 혁신...2024-05-09389,,,,,,,,,"2024년 국립군산대학교 정부혁신 실행계획
작성자 : 기획처 혁신성과관리과 전화번호 : 063-469-8984 작성일 : 2024-05-09 조회수 : 392
2024년 국립대학교 정부혁신 종합계획 추진에 따라 국립군산대학교 정부혁신 실행계획을 다음과 같이 수립하여 게시합니다. 

 

 1. 추진과제

   가. 문제를 해결하는 정부: 3개 과제 

   나. 디지털로 일하는 정부: 2개 과제 

   다. 미래를 대비하는 정부: 6개 과제 

 2. 세부사항: [붙임] 참조 

 3. 문의: 혁신성과관리과(063-469-8984)"
11,39672024년 희망이음-청년도전 취업캠프 참여자 모집 (~..취업지원실2024-05-09277,,,,,,,,,
