1,번호제목작성자작성일조회수파일
2,39762024년 전북 지자체 대학 협력기반 지역혁신(RIS)..RIS에너지...2024-05-1538
3,39752024 KSNU 진로·진학박람회 및 청춘댄스경연대회 ..입학사정관실2024-05-1490
4,3974미래형 상용 모빌리티 산업 생태계 활성화를 위한 초청세..미래모빌리티...2024-05-1480
5,39732024학년도 스마트팩토리 마이크로디그리(MD) 교육과..미래교육과2024-05-1472
6,3972[군산시 청년뜰] 롯데몰 연계 팝업부스 지원사업 참여자..군산시청년뜰...2024-05-13218
7,39712024년 JST공유대학 핵심역량진단 온라인 설문조사(..RIS에너지...2024-05-13195
8,3970[군산시 청년뜰] 청년생활아카데미 노무교육 참여자 모집군산시청년뜰...2024-05-13160
9,3969[도서관] 2024 도서관 온라인 퀴즈대회 안내학술정보지원...2024-05-13228
10,39682024년 국립군산대학교 정부혁신 실행계획기획처 혁신...2024-05-09389
11,39672024년 희망이음-청년도전 취업캠프 참여자 모집 (~..취업지원실2024-05-09277
