번호,제목,작성자,작성일
1,339
2,2024학년도 2학기 재입학 시행 계획 알림
3,컴퓨터소프트...
4,2024-05-08
5,37
6,
7,338
8,국립군산대학교 학사관리 규정 개정에 따른 휴학원 등 서..
9,컴퓨터소프트...
10,2024-05-07
11,40
12,
13,337
14,연도별 교양 전공 필수 교과목_인공지능융합전공(2018..
15,소프트웨어학...
16,2024-01-26
17,308
18,
19,336
20,인공지능융합전공 졸업소요학점(2012~2024년)
21,소프트웨어학...
22,2024-01-26
23,225
24,
25,335
26,2024학년도 1학기 수강편람(수강안내서) 안내
27,소프트웨어학...
28,2024-01-26
29,419
30,
31,334
32,2024학년도 1학기 인공지능융합전공 수강신청 안내
33,소프트웨어학...
34,2024-01-26
35,324
36,
37,333
38,<학사공지>2023학년도 전기 졸업대상자 학..
39,소프트웨어학...
40,2024-01-10
41,184
42,
43,332
44,<학사공지> 2023학년도 2학기 기말 교수..
45,소프트웨어학...
46,2023-12-14
47,126
48,
49,331
50,"2023학년도 2학기 군입대, 질병 등 휴학자의 성적 .."
51,소프트웨어학...
52,2023-12-14
53,224
54,
55,330
56,2023학년도 2학기 성적열람기간 안내
57,소프트웨어학...
58,2023-12-14
59,211
60,
