번호,제목,작성자,작성일
1,번호제목작성자작성일조회파일
2,3392024학년도 2학기 재입학 시행 계획 알림컴퓨터소프트...2024-05-0838
3,338국립군산대학교 학사관리 규정 개정에 따른 휴학원 등 서..컴퓨터소프트...2024-05-0742
4,337연도별 교양 전공 필수 교과목_인공지능융합전공(2018..소프트웨어학...2024-01-26309
5,336인공지능융합전공 졸업소요학점(2012~2024년)소프트웨어학...2024-01-26226
6,3352024학년도 1학기 수강편람(수강안내서) 안내소프트웨어학...2024-01-26420
7,3342024학년도 1학기 인공지능융합전공 수강신청 안내소프트웨어학...2024-01-26325
8,333<학사공지>2023학년도 전기 졸업대상자 학..소프트웨어학...2024-01-10185
9,332<학사공지> 2023학년도 2학기 기말 교수..소프트웨어학...2023-12-14127
10,"3312023학년도 2학기 군입대, 질병 등 휴학자의 성적 ..소프트웨어학...2023-12-14225"
11,3302023학년도 2학기 성적열람기간 안내소프트웨어학...2023-12-14212
